0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SNPS,0.9067,1.0418,1.0313,1.0178,1.0076,0.9408,0.6724,0.9505,0.7586,0.9275,0.6299,0.9392,0.7503,0.9476,1.0837,1.1135,1.0096,1.2979,1.2312,1.2787,1.2733,1.3006,1.2276,1.2164
STX,0.5907,0.2841,0.2855,0.3352,0.4421,0.5825,0.7927,0.2176,1.5916,1.3102,1.3629,0.6078,1.3864,1.3602,1.5042,1.4843,0.2962,1.3133,1.5553,1.1447,1.2845,1.097,1.3735,1.4842
SWKS,0.8962,1.1568,1.1433,1.1493,1.4046,1.6093,1.8845,1.3976,2.6035,1.8732,3.2278,0.8852,2.5039,1.8261,1.5477,1.5337,1.3812,0.8574,1.415,0.8982,0.8858,0.5168,1.1806,1.3607
TEL,1.4195,1.4015,1.4108,1.486,1.4976,1.4559,1.686,1.4601,1.5862,1.0278,1.7812,1.4195,1.5014,1.0348,1.23,1.2312,1.4352,0.814,1.1959,0.8076,0.9903,0.7218,1.0928,1.2045
TXN,0.9323,0.9437,0.9522,0.9909,0.9902,1.0752,1.1079,0.9267,1.2008,1.0064,1.4735,0.9159,1.2352,1.0482,1.2478,1.244,0.9726,1.0431,1.2131,1.0612,1.1149,1.0044,1.1409,1.1804
V,1.0193,0.9468,0.908,0.8888,0.8802,0.8019,0.8446,0.7991,0.7821,0.6363,0.6131,1.0189,0.4659,0.6445,0.7475,0.7765,0.8599,0.8499,0.8167,0.868,0.8588,0.7833,0.8061,0.808
VRSN,0.6971,0.742,0.712,0.7019,0.8041,0.7566,0.6143,0.7472,0.7865,0.8561,0.6297,0.7167,0.9981,0.9126,1.0531,1.0951,0.7608,1.2998,1.0957,1.2844,1.2955,1.2915,1.1691,1.096
WDC,1.1799,1.033,1.0754,1.1069,1.5134,1.8681,2.3768,1.1966,2.6381,2.4512,3.022,1.2284,2.9293,2.5728,2.8348,2.8395,1.2806,2.1924,2.7781,2.0208,2.2047,1.7854,2.3328,2.647
WU,1.1679,1.1095,1.0897,1.0567,1.0062,0.9252,1.2273,1.1205,1.036,0.5921,0.2146,1.1523,0.2419,0.5701,0.6264,0.6153,1.0714,0.6098,0.5778,0.6009,0.6508,0.6704,0.5562,0.5496
XLNX,0.7425,0.5194,0.5941,0.6249,0.8023,0.8735,0.7002,0.7501,1.0843,1.872,2.0565,0.7096,2.6125,1.9229,1.4998,1.5487,0.6889,1.4622,1.4813,1.4731,1.2499,1.4615,1.4954,1.5065
XRX,1.4904,1.3027,1.3224,1.4182,1.4166,1.4849,2.2547,1.3389,1.6681,2.8961,1.989,1.5154,2.8758,2.8498,2.2765,2.281,1.2677,2.3179,2.2132,2.313,2.2703,2.3482,2.256,2.2267
ZBRA,1.5725,1.3227,1.4269,1.3585,1.6038,1.7065,1.5968,1.4705,2.1039,1.8143,2.601,1.5507,2.0912,1.8527,1.6628,1.6766,1.4688,1.4469,1.8093,1.4359,1.3413,1.1568,1.5599,1.7273
APA,6.7218,7.1841,7.1689,7.0725,7.5312,7.7563,3.5524,7.7467,1.6447,2.4018,2.0431,6.6459,2.6176,2.4,2.3973,2.3228,8.0785,2.2728,2.244,2.0724,2.1536,2.3642,2.2661,2.2395
BKR,2.2129,2.1421,2.2567,2.3227,2.6901,2.4739,2.156,2.5659,2.1012,1.1746,1.9134,2.2179,1.6192,1.1169,0,0,2.6634,0,0,0,0,0,0,0
COG,0.0587,0.05,0.0674,-0.0278,-0.0829,0.018,-0.9565,0.0558,-0.0224,0.6029,0.2086,0.0187,0.5428,0.745,0.3655,0.3498,-0.0384,0.5468,0.3122,0.5339,0.5035,0.6616,0.5506,0.3289
COP,2.426,2.1837,2.1778,2.1733,2.3849,2.2932,1.8671,2.3059,1.3716,0.8202,1.0926,2.4025,1.0692,0.7379,0.7761,0.7359,2.4941,0.8169,0.6875,0.7229,0.7332,0.8538,0.7241,0.715
CVX,1.6832,1.4771,1.5058,1.4671,1.6233,1.5572,1.2014,1.4944,0.9866,0.7941,0.9295,1.6566,0.7723,0.8175,0.8913,0.8945,1.6027,0.7859,0.8093,0.7501,0.7361,0.8212,0.7124,0.7943
